N_estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon,estado,rango_edad,total
NUEVO LEON,7,Hombres,26,64083.22046720017,MORENA-PT-Partido Verde,5,64796.293117668225,19,25-29,-64796.293117668225
NUEVO LEON,1,Mujeres,38,54551.06472624304,PAN-PRI-PRD,5,55158.070304717454,19,35-39,55158.070304717454
NUEVO LEON,99,Mujeres,40,54551.06472624304,NS,5,55158.070304717454,19,40-44,55158.070304717454
NUEVO LEON,99,Mujeres,41,54551.06472624304,NS,5,55158.070304717454,19,40-44,55158.070304717454
NUEVO LEON,6,Mujeres,41,54551.06472624304,Movimiento Ciudadano,5,55158.070304717454,19,40-44,55158.070304717454
NUEVO LEON,7,Hombres,61,64519.74430248697,MORENA-PT-Partido Verde,5,65237.67428075395,19,60-64,-65237.67428075395
MEXICO,7,Mujeres,45,63112.73078815214,MORENA-PT-Partido Verde,5,63815.00451742608,15,45-49,63815.00451742608
MEXICO,1,Hombres,30,74140.93678429199,PAN-PRI-PRD,5,74965.92457228899,15,30-34,-74965.92457228899
MEXICO,4,Hombres,22,63125.65725138546,MORENA-PT-Partido Verde,5,63828.074817179026,15,20-24,-63828.074817179026
CIUDAD DE MEXICO,2,Hombres,62,66397.11677639085,PAN-PRI-PRD,5,67135.936824728,7,60-64,-67135.936824728
MEXICO,4,Hombres,40,68204.33544595882,MORENA-PT-Partido Verde,5,68963.26494256167,15,40-44,-68963.26494256167
MEXICO,7,Hombres,19,63125.65725138546,MORENA-PT-Partido Verde,5,63828.074817179026,15,19-19,-63828.074817179026
MEXICO,6,Hombres,34,74140.93678429199,Movimiento Ciudadano,5,74965.92457228899,15,30-34,-74965.92457228899
NUEVO LEON,7,Mujeres,33,56100.56445026784,MORENA-PT-Partido Verde,5,56724.81176327205,19,30-34,56724.81176327205
NUEVO LEON,6,Hombres,54,65823.11965316272,Movimiento Ciudadano,5,66555.5526684039,19,50-54,-66555.5526684039
CIUDAD DE MEXICO,5,Mujeres,43,56138.37212255039,MORENA-PT-Partido Verde,5,56763.04013253091,7,40-44,56763.04013253091
MEXICO,7,Mujeres,28,64905.42098456637,MORENA-PT-Partido Verde,5,65627.6424995556,15,25-29,65627.6424995556
CIUDAD DE MEXICO,99,Hombres,50,67738.41727746789,NS,5,68492.16236696878,7,50-54,-68492.16236696878
CIUDAD DE MEXICO,7,Hombres,41,60667.32204139182,MORENA-PT-Partido Verde,5,61342.38499561703,7,40-44,-61342.38499561703
CIUDAD DE MEXICO,5,Mujeres,29,57732.95863607902,MORENA-PT-Partido Verde,5,58375.37007442211,7,25-29,58375.37007442211
MEXICO,7,Mujeres,60,63363.90097955765,MORENA-PT-Partido Verde,5,64068.96955267367,15,60-64,64068.96955267367
GUANAJUATO,7,Mujeres,30,28215.927510124755,MORENA-PT-Partido Verde,5,28529.894349936705,11,30-34,28529.894349936705
MEXICO,2,Hombres,25,63125.65725138546,PAN-PRI-PRD,5,63828.074817179026,15,25-29,-63828.074817179026
CIUDAD DE MEXICO,7,Mujeres,31,57732.95863607902,MORENA-PT-Partido Verde,5,58375.37007442211,7,30-34,58375.37007442211
CIUDAD DE MEXICO,1,Hombres,31,65947.89112646683,PAN-PRI-PRD,5,66681.71251021576,7,30-34,-66681.71251021576
MEXICO,1,Mujeres,38,63112.73078815214,PAN-PRI-PRD,5,63815.00451742608,15,35-39,63815.00451742608
CIUDAD DE MEXICO,6,Mujeres,35,57732.95863607902,Movimiento Ciudadano,5,58375.37007442211,7,35-39,58375.37007442211
CIUDAD DE MEXICO,99,Hombres,49,67738.41727746789,NS,5,68492.16236696878,7,45-49,-68492.16236696878
CIUDAD DE MEXICO,7,Mujeres,18,71986.69403141699,MORENA-PT-Partido Verde,5,72787.71093314541,7,18-18,72787.71093314541
GUANAJUATO,1,Hombres,56,33105.91240611021,PAN-PRI-PRD,5,33474.29153146442,11,55-59,-33474.29153146442
GUANAJUATO,1,Mujeres,30,69683.68522179291,PAN-PRI-PRD,5,70459.07587402953,11,30-34,70459.07587402953
PUEBLA,7,Mujeres,26,63417.44023586462,MORENA-PT-Partido Verde,5,64123.10455587227,21,25-29,64123.10455587227
MEXICO,7,Mujeres,72,82799.94608223598,MORENA-PT-Partido Verde,5,83721.28518755907,15,65-100,83721.28518755907
NUEVO LEON,7,Mujeres,65,87068.36212584043,MORENA-PT-Partido Verde,5,88037.19713913012,19,65-100,88037.19713913012
NUEVO LEON,99,Mujeres,67,87068.36212584043,NS,5,88037.19713913012,19,65-100,88037.19713913012
NUEVO LEON,7,Hombres,47,76798.10274678403,MORENA-PT-Partido Verde,5,77652.65759401735,19,45-49,-77652.65759401735
NUEVO LEON,7,Hombres,62,75277.40979533693,MORENA-PT-Partido Verde,5,76115.04344938534,19,60-64,-76115.04344938534
MEXICO,7,Mujeres,72,82799.94608223598,MORENA-PT-Partido Verde,5,83721.28518755907,15,65-100,83721.28518755907
MEXICO,6,Mujeres,32,62245.64041720867,Movimiento Ciudadano,5,62938.26577949206,15,30-34,62938.26577949206
MEXICO,1,Hombres,48,73033.17314573129,PAN-PRI-PRD,5,73845.83452522257,15,45-49,-73845.83452522257
MEXICO,2,Mujeres,53,60767.29086686028,PAN-PRI-PRD,5,61443.46620331008,15,50-54,61443.46620331008
MEXICO,7,Hombres,34,71102.69098119572,MORENA-PT-Partido Verde,5,71893.87132362752,15,30-34,-71893.87132362752
GUANAJUATO,1,Hombres,46,81760.27452082977,PAN-PRI-PRD,5,82670.04489801305,11,45-49,-82670.04489801305
PUEBLA,1,Hombres,88,72934.68556744083,PAN-PRI-PRD,5,73746.25104697612,21,65-100,-73746.25104697612
MEXICO,2,Hombres,47,73033.17314573129,PAN-PRI-PRD,5,73845.83452522257,15,45-49,-73845.83452522257
MEXICO,7,Hombres,54,73033.17314573129,MORENA-PT-Partido Verde,5,73845.83452522257,15,50-54,-73845.83452522257
CIUDAD DE MEXICO,7,Hombres,42,60667.32204139182,MORENA-PT-Partido Verde,5,61342.38499561703,7,40-44,-61342.38499561703
CIUDAD DE MEXICO,7,Hombres,29,65947.89112646683,MORENA-PT-Partido Verde,5,66681.71251021576,7,25-29,-66681.71251021576
CIUDAD DE MEXICO,7,Mujeres,73,76797.11912665494,MORENA-PT-Partido Verde,5,77651.66302886073,7,65-100,77651.66302886073
MEXICO,4,Hombres,63,71587.03023786917,MORENA-PT-Partido Verde,5,72383.59996421401,15,60-64,-72383.59996421401
MEXICO,5,Mujeres,47,60767.29086686028,MORENA-PT-Partido Verde,5,61443.46620331008,15,45-49,61443.46620331008
CIUDAD DE MEXICO,6,Hombres,22,56149.87012927834,Movimiento Ciudadano,5,56774.66608092709,7,20-24,-56774.66608092709
CIUDAD DE MEXICO,7,Mujeres,44,56138.37212255039,MORENA-PT-Partido Verde,5,56763.04013253091,7,40-44,56763.04013253091
PUEBLA,7,Mujeres,49,61911.260146326706,MORENA-PT-Partido Verde,5,62600.16476198899,21,45-49,62600.16476198899
GUERRERO,1,Hombres,38,52876.94492683928,PAN-PRI-PRD,5,53465.322086924934,12,35-39,-53465.322086924934
GUERRERO,99,Mujeres,45,48929.563908906726,NS,5,49474.01741121827,12,45-49,49474.01741121827
GUERRERO,1,Hombres,35,57479.4286247908,PAN-PRI-PRD,5,58119.01896088896,12,35-39,-58119.01896088896
GUERRERO,99,Mujeres,28,50319.38730014536,NS,5,50879.305771945765,12,25-29,50879.305771945765
PUEBLA,7,Hombres,39,66640.72586478508,MORENA-PT-Partido Verde,5,67382.2566223699,21,35-39,-67382.2566223699
PUEBLA,4,Mujeres,30,63417.44023586462,MORENA-PT-Partido Verde,5,64123.10455587227,21,30-34,64123.10455587227
CIUDAD DE MEXICO,1,Mujeres,39,56138.37212255039,PAN-PRI-PRD,5,56763.04013253091,7,35-39,56763.04013253091
GUANAJUATO,1,Hombres,50,81760.27452082977,PAN-PRI-PRD,5,82670.04489801305,11,50-54,-82670.04489801305
CIUDAD DE MEXICO,99,Mujeres,35,57732.95863607902,NS,5,58375.37007442211,7,35-39,58375.37007442211
PUEBLA,7,Mujeres,34,63417.44023586462,MORENA-PT-Partido Verde,5,64123.10455587227,21,30-34,64123.10455587227
PUEBLA,2,Hombres,61,72934.68556744083,PAN-PRI-PRD,5,73746.25104697612,21,60-64,-73746.25104697612
PUEBLA,99,Mujeres,37,61665.84812432816,NS,5,62352.02196897571,21,35-39,62352.02196897571
GUANAJUATO,1,Mujeres,51,68028.68024435555,PAN-PRI-PRD,5,68785.65517439226,11,50-54,68785.65517439226
GUANAJUATO,2,Hombres,69,80141.324719658907,PAN-PRI-PRD,5,81033.08057108523,11,65-100,-81033.08057108523
GUERRERO,99,Hombres,73,63971.66052078935,NS,5,64683.491811255626,12,65-100,-64683.491811255626
CIUDAD DE MEXICO,7,Hombres,38,60667.32204139182,MORENA-PT-Partido Verde,5,61342.38499561703,7,35-39,-61342.38499561703
CIUDAD DE MEXICO,99,Mujeres,19,71986.69403141699,NS,5,72787.71093314541,7,19-19,72787.71093314541
GUANAJUATO,99,Mujeres,29,69683.68522179291,NS,5,70459.07587402953,11,25-29,70459.07587402953
PUEBLA,1,Mujeres,23,79074.62174754933,PAN-PRI-PRD,5,79954.50808445938,21,20-24,79954.50808445938
PUEBLA,7,Hombres,22,61678.47824361751,MORENA-PT-Partido Verde,5,62364.79262727935,21,20-24,-62364.79262727935
GUANAJUATO,99,Mujeres,39,67759.01918539469,NS,5,68512.99351832285,11,35-39,68512.99351832285
GUERRERO,7,Mujeres,37,54087.66310904788,MORENA-PT-Partido Verde,5,54689.512282819225,12,35-39,54689.512282819225
CIUDAD DE MEXICO,7,Mujeres,25,71986.69403141699,MORENA-PT-Partido Verde,5,72787.71093314541,7,25-29,72787.71093314541
GUERRERO,7,Hombres,67,63971.66052078935,MORENA-PT-Partido Verde,5,64683.491811255626,12,65-100,-64683.491811255626
GUERRERO,3,Mujeres,30,55624.000107806736,PAN-PRI-PRD,5,56242.94455063183,12,30-34,56242.94455063183
GUERRERO,3,Hombres,47,59040.03076595589,PAN-PRI-PRD,5,59696.98637641157,12,45-49,-59696.98637641157
GUERRERO,1,Mujeres,27,50319.38730014536,PAN-PRI-PRD,5,50879.305771945765,12,25-29,50879.305771945765
GUERRERO,1,Hombres,38,52876.94492683928,PAN-PRI-PRD,5,53465.322086924934,12,35-39,-53465.322086924934
GUERRERO,7,Hombres,24,48939.58544023634,MORENA-PT-Partido Verde,5,49484.15045504453,12,20-24,-49484.15045504453
GUERRERO,7,Mujeres,64,73991.7555500222,MORENA-PT-Partido Verde,5,74815.08335499484,12,60-64,74815.08335499484
MEXICO,99,Mujeres,20,77613.51535348102,NS,5,78477.14353417735,15,20-24,78477.14353417735
MEXICO,7,Hombres,38,65409.36757922481,MORENA-PT-Partido Verde,5,66137.19665468505,15,35-39,-66137.19665468505
MEXICO,7,Mujeres,23,77613.51535348102,MORENA-PT-Partido Verde,5,78477.14353417735,15,20-24,78477.14353417735
GUERRERO,99,Hombres,65,63971.66052078935,NS,5,64683.491811255626,12,65-100,-64683.491811255626
MEXICO,4,Hombres,79,71587.03023786917,MORENA-PT-Partido Verde,5,72383.59996421401,15,65-100,-72383.59996421401
MEXICO,1,Mujeres,30,62245.64041720867,PAN-PRI-PRD,5,62938.26577949206,15,30-34,62938.26577949206
MEXICO,7,Hombres,33,71102.69098119572,MORENA-PT-Partido Verde,5,71893.87132362752,15,30-34,-71893.87132362752
MEXICO,5,Mujeres,72,82799.94608223598,MORENA-PT-Partido Verde,5,83721.28518755907,15,65-100,83721.28518755907
GUERRERO,7,Mujeres,30,55624.000107806736,MORENA-PT-Partido Verde,5,56242.94455063183,12,30-34,56242.94455063183
MEXICO,7,Hombres,50,73033.17314573129,MORENA-PT-Partido Verde,5,73845.83452522257,15,50-54,-73845.83452522257
MEXICO,4,Mujeres,23,77613.51535348102,MORENA-PT-Partido Verde,5,78477.14353417735,15,20-24,78477.14353417735
MEXICO,1,Hombres,21,60538.81020668573,PAN-PRI-PRD,5,61212.44317231297,15,20-24,-61212.44317231297
CIUDAD DE MEXICO,99,Mujeres,33,56227.09520218627,NS,5,56852.75045970355,7,30-34,56852.75045970355
CIUDAD DE MEXICO,6,Hombres,24,54685.29879527665,Movimiento Ciudadano,5,55293.798035316315,7,20-24,-55293.798035316315
GUANAJUATO,5,Mujeres,40,67759.01918539469,MORENA-PT-Partido Verde,5,68512.99351832285,11,40-44,68512.99351832285
GUANAJUATO,7,Hombres,55,81760.27452082977,MORENA-PT-Partido Verde,5,82670.04489801305,11,55-59,-82670.04489801305
CIUDAD DE MEXICO,1,Mujeres,35,56227.09520218627,PAN-PRI-PRD,5,56852.75045970355,7,35-39,56852.75045970355
GUERRERO,99,Mujeres,33,55624.000107806736,NS,5,56242.94455063183,12,30-34,56242.94455063183
GUERRERO,7,Hombres,26,63538.844878041615,MORENA-PT-Partido Verde,5,64245.86010284689,12,25-29,-64245.86010284689
CIUDAD DE MEXICO,99,Mujeres,21,70109.04679438466,NS,5,70889.17056867357,7,20-24,70889.17056867357
CIUDAD DE MEXICO,99,Hombres,25,54685.29879527665,NS,5,55293.798035316315,7,25-29,-55293.798035316315
GUANAJUATO,6,Mujeres,33,69683.68522179291,Movimiento Ciudadano,5,70459.07587402953,11,30-34,70459.07587402953
TLAXCALA,7,Mujeres,23,79351.50469929355,MORENA-PT-Partido Verde,5,80234.47199341565,29,20-24,80234.47199341565
GUERRERO,1,Hombres,25,54098.74109885793,PAN-PRI-PRD,5,54700.713540647,12,25-29,-54700.713540647
CIUDAD DE MEXICO,7,Hombres,68,64665.26390358502,MORENA-PT-Partido Verde,5,65384.81312081805,7,65-100,-65384.81312081805
GUANAJUATO,99,Mujeres,36,67759.01918539469,NS,5,68512.99351832285,11,35-39,68512.99351832285
CIUDAD DE MEXICO,99,Mujeres,34,56227.09520218627,NS,5,56852.75045970355,7,30-34,56852.75045970355
TLAXCALA,1,Hombres,60,74668.59548474106,PAN-PRI-PRD,5,75499.45468471345,29,60-64,-75499.45468471345
TLAXCALA,7,Mujeres,25,79351.50469929355,MORENA-PT-Partido Verde,5,80234.47199341565,29,25-29,80234.47199341565
GUANAJUATO,5,Mujeres,70,92694.12830365569,MORENA-PT-Partido Verde,5,93725.56285501605,11,65-100,93725.56285501605
NUEVO LEON,6,Hombres,22,63659.643503971914,Movimiento Ciudadano,5,64368.002890255615,19,20-24,-64368.002890255615
NUEVO LEON,7,Mujeres,70,87068.36212584043,MORENA-PT-Partido Verde,5,88037.19713913012,19,65-100,88037.19713913012
NUEVO LEON,2,Mujeres,68,87068.36212584043,PAN-PRI-PRD,5,88037.19713913012,19,65-100,88037.19713913012
CIUDAD DE MEXICO,1,Mujeres,30,56227.09520218627,PAN-PRI-PRD,5,56852.75045970355,7,30-34,56852.75045970355
CIUDAD DE MEXICO,7,Hombres,50,65971.57892277873,MORENA-PT-Partido Verde,5,66705.66388753337,7,50-54,-66705.66388753337
CIUDAD DE MEXICO,99,Hombres,35,64227.75552046611,NS,5,64942.436454549854,7,35-39,-64942.436454549854
GUANAJUATO,4,Mujeres,35,69683.68522179291,MORENA-PT-Partido Verde,5,70459.07587402953,11,35-39,70459.07587402953
GUANAJUATO,1,Mujeres,32,69683.68522179291,PAN-PRI-PRD,5,70459.07587402953,11,30-34,70459.07587402953
GUANAJUATO,1,Mujeres,43,67759.01918539469,PAN-PRI-PRD,5,68512.99351832285,11,40-44,68512.99351832285
TLAXCALA,7,Mujeres,22,79351.50469929355,MORENA-PT-Partido Verde,5,80234.47199341565,29,20-24,80234.47199341565
TLAXCALA,7,Mujeres,55,62128.0449007356,MORENA-PT-Partido Verde,5,62819.361743472,29,55-59,62819.361743472
TLAXCALA,7,Mujeres,43,61881.77355872334,MORENA-PT-Partido Verde,5,62570.35006854103,29,40-44,62570.35006854103
TLAXCALA,7,Mujeres,73,84654.07449620328,MORENA-PT-Partido Verde,5,85596.04502817466,29,65-100,85596.04502817466
TLAXCALA,7,Mujeres,70,84654.07449620328,MORENA-PT-Partido Verde,5,85596.04502817466,29,65-100,85596.04502817466
TLAXCALA,1,Hombres,22,61894.447902880704,PAN-PRI-PRD,5,62583.16544381568,29,20-24,-62583.16544381568
TLAXCALA,7,Hombres,33,72694.88428439952,MORENA-PT-Partido Verde,5,73503.78142524588,29,30-34,-73503.78142524588
GUANAJUATO,5,Mujeres,45,67759.01918539469,MORENA-PT-Partido Verde,5,68512.99351832285,11,45-49,68512.99351832285
GUANAJUATO,1,Mujeres,42,67759.01918539469,PAN-PRI-PRD,5,68512.99351832285,11,40-44,68512.99351832285
GUANAJUATO,1,Hombres,48,81760.27452082977,PAN-PRI-PRD,5,82670.04489801305,11,45-49,-82670.04489801305
GUANAJUATO,7,Mujeres,27,69683.68522179291,MORENA-PT-Partido Verde,5,70459.07587402953,11,25-29,70459.07587402953
GUANAJUATO,1,Mujeres,32,69683.68522179291,PAN-PRI-PRD,5,70459.07587402953,11,30-34,70459.07587402953
GUERRERO,1,Mujeres,19,62742.7802593203,PAN-PRI-PRD,5,63440.93744135749,12,19-19,63440.93744135749
GUERRERO,7,Hombres,25,48939.58544023634,MORENA-PT-Partido Verde,5,49484.15045504453,12,25-29,-49484.15045504453
HIDALGO,7,Hombres,65,56190.089962557424,MORENA-PT-Partido Verde,5,56815.33345200014,13,65-100,-56815.33345200014
HIDALGO,7,Mujeres,24,60920.398506982994,MORENA-PT-Partido Verde,5,61598.27751671814,13,20-24,61598.27751671814
HIDALGO,99,Mujeres,25,60920.398506982994,NS,5,61598.27751671814,13,25-29,61598.27751671814
NUEVO LEON,7,Hombres,55,76798.10274678403,MORENA-PT-Partido Verde,5,77652.65759401735,19,55-59,-77652.65759401735
NUEVO LEON,6,Mujeres,57,63899.90255968519,Movimiento Ciudadano,5,64610.93537842762,19,55-59,64610.93537842762
NUEVO LEON,7,Hombres,32,74768.10238890554,MORENA-PT-Partido Verde,5,75600.06883116966,19,30-34,-75600.06883116966
CHIAPAS,7,Mujeres,73,92654.82942580651,MORENA-PT-Partido Verde,5,93685.8266871121,5,65-100,93685.8266871121
CHIAPAS,3,Mujeres,47,67999.83860309857,PAN-PRI-PRD,5,68756.49260379645,5,45-49,68756.49260379645
CHIAPAS,7,Mujeres,23,86851.10759699909,MORENA-PT-Partido Verde,5,87817.52515589779,5,20-24,87817.52515589779
CHIAPAS,1,Hombres,55,81725.61119209354,PAN-PRI-PRD,5,82634.99586032654,5,55-59,-82634.99586032654
CHIAPAS,7,Hombres,26,79565.36225319986,MORENA-PT-Partido Verde,5,80450.7092025839,5,25-29,-80450.7092025839
HIDALGO,99,Mujeres,31,31872.10702257686,NS,5,32226.75723623494,13,30-34,32226.75723623494
CHIAPAS,99,Mujeres,66,92654.82942580651,NS,5,93685.8266871121,5,65-100,93685.8266871121
CHIAPAS,7,Mujeres,48,67999.83860309857,MORENA-PT-Partido Verde,5,68756.49260379645,5,45-49,68756.49260379645
CHIAPAS,7,Hombres,65,80107.34776568713,MORENA-PT-Partido Verde,5,80998.725545655,5,65-100,-80998.725545655
CHIAPAS,7,Hombres,21,67744.1640815893,MORENA-PT-Partido Verde,5,68497.9731174527,5,20-24,-68497.9731174527
CHIAPAS,7,Hombres,73,80107.34776568713,MORENA-PT-Partido Verde,5,80998.725545655,5,65-100,-80998.725545655
GUERRERO,3,Hombres,37,52813.98338300446,PAN-PRI-PRD,5,53401.65995166209,12,35-39,-53401.65995166209
GUERRERO,7,Hombres,33,57410.98681957745,MORENA-PT-Partido Verde,5,58049.81558378377,12,30-34,-58049.81558378377
GUERRERO,7,Mujeres,28,50259.47108687655,MORENA-PT-Partido Verde,5,50818.72285352871,12,25-29,50818.72285352871
GUERRERO,1,Mujeres,24,62668.07128520915,PAN-PRI-PRD,5,63365.39715874164,12,20-24,63365.39715874164
HIDALGO,7,Mujeres,44,30991.798214287563,MORENA-PT-Partido Verde,5,31336.652975554505,13,40-44,31336.652975554505
GUERRERO,7,Mujeres,67,66855.79051355663,MORENA-PT-Partido Verde,5,67599.71435809934,12,65-100,67599.71435809934
HIDALGO,1,Hombres,24,30998.145813815405,PAN-PRI-PRD,5,31343.07120667025,13,20-24,-31343.07120667025
GUERRERO,7,Mujeres,63,66855.79051355663,MORENA-PT-Partido Verde,5,67599.71435809934,12,60-64,67599.71435809934
MEXICO,4,Hombres,37,72549.73132962525,MORENA-PT-Partido Verde,5,73357.01331128596,15,35-39,-73357.01331128596
HIDALGO,7,Hombres,58,37395.7291642806,MORENA-PT-Partido Verde,5,37811.8423295827,13,55-59,-37811.8423295827
MEXICO,7,Mujeres,66,91838.73907812624,MORENA-PT-Partido Verde,5,92860.65546454758,15,65-100,92860.65546454758
GUERRERO,99,Mujeres,46,49065.79606025589,NS,5,49611.7654573763,12,45-49,49611.7654573763
GUERRERO,7,Mujeres,70,66855.79051355663,MORENA-PT-Partido Verde,5,67599.71435809934,12,65-100,67599.71435809934
GUERRERO,7,Mujeres,58,49065.79606025589,MORENA-PT-Partido Verde,5,49611.7654573763,12,55-59,49611.7654573763
MEXICO,1,Hombres,38,72549.73132962525,PAN-PRI-PRD,5,73357.01331128596,15,35-39,-73357.01331128596
MEXICO,7,Hombres,83,79401.77382318482,MORENA-PT-Partido Verde,5,80285.30047648314,15,65-100,-80285.30047648314
MEXICO,7,Hombres,69,79401.77382318482,MORENA-PT-Partido Verde,5,80285.30047648314,15,65-100,-80285.30047648314
MEXICO,7,Hombres,23,67147.48327432577,MORENA-PT-Partido Verde,5,67894.65286913709,15,20-24,-67894.65286913709
MEXICO,7,Mujeres,44,67133.73324760844,MORENA-PT-Partido Verde,5,67880.74984186949,15,40-44,67880.74984186949
MEXICO,99,Mujeres,41,67133.73324760844,NS,5,67880.74984186949,15,40-44,67880.74984186949
GUERRERO,7,Hombres,50,58969.73072327713,MORENA-PT-Partido Verde,5,59625.90408469171,12,50-54,-59625.90408469171
MEXICO,7,Hombres,18,67147.48327432577,MORENA-PT-Partido Verde,5,67894.65286913709,15,18-18,-67894.65286913709
MEXICO,3,Mujeres,23,86086.13559246901,PAN-PRI-PRD,5,87044.0410851696,15,20-24,87044.0410851696
TLAXCALA,7,Mujeres,30,32065.037229302405,MORENA-PT-Partido Verde,5,32421.834233537833,29,30-34,32421.834233537833
TLAXCALA,1,Mujeres,34,32065.037229302405,PAN-PRI-PRD,5,32421.834233537833,29,30-34,32421.834233537833
TLAXCALA,5,Mujeres,23,39981.59939596947,MORENA-PT-Partido Verde,5,40426.48629215516,29,20-24,40426.48629215516
QUERETARO,6,Hombres,59,59126.662049318504,Movimiento Ciudadano,5,59784.58163128483,22,55-59,-59784.58163128483
YUCATAN,99,Hombres,51,77447.50209487697,NS,5,78309.28299771393,31,50-54,-78309.28299771393
TLAXCALA,7,Mujeres,23,39981.59939596947,MORENA-PT-Partido Verde,5,40426.48629215516,29,20-24,40426.48629215516
YUCATAN,7,Hombres,56,77447.50209487697,MORENA-PT-Partido Verde,5,78309.28299771393,31,55-59,-78309.28299771393
TAMAULIPAS,4,Mujeres,50,76909.18356851481,MORENA-PT-Partido Verde,5,77764.97444439011,28,50-54,77764.97444439011
YUCATAN,7,Hombres,22,64197.944966022544,MORENA-PT-Partido Verde,5,64912.29418938835,31,20-24,-64912.29418938835
QUERETARO,2,Mujeres,48,49196.37085421492,PAN-PRI-PRD,5,49743.793195081504,22,45-49,49743.793195081504
QUERETARO,6,Hombres,46,59126.662049318504,Movimiento Ciudadano,5,59784.58163128483,22,45-49,-59784.58163128483
QUERETARO,7,Hombres,57,59126.662049318504,MORENA-PT-Partido Verde,5,59784.58163128483,22,55-59,-59784.58163128483
TAMAULIPAS,1,Hombres,48,92433.30811575455,PAN-PRI-PRD,5,93461.84044495244,28,45-49,-93461.84044495244
TAMAULIPAS,7,Mujeres,29,78780.23385435506,MORENA-PT-Partido Verde,5,79656.8444514734,28,25-29,79656.8444514734
TAMAULIPAS,7,Mujeres,19,98230.34752029636,MORENA-PT-Partido Verde,5,99323.3851946209,28,19-19,99323.3851946209
TAMAULIPAS,99,Hombres,57,92433.30811575455,NS,5,93461.84044495244,28,55-59,-93461.84044495244
QUERETARO,7,Hombres,21,49011.3960243251,MORENA-PT-Partido Verde,5,49556.76009640841,22,20-24,-49556.76009640841
QUERETARO,1,Mujeres,33,50393.22251065045,PAN-PRI-PRD,5,50953.96256833354,22,30-34,50953.96256833354
TLAXCALA,7,Mujeres,53,31303.484563892955,MORENA-PT-Partido Verde,5,31651.807549912137,29,50-54,31651.807549912137
TLAXCALA,7,Mujeres,22,39981.59939596947,MORENA-PT-Partido Verde,5,40426.48629215516,29,20-24,40426.48629215516
TLAXCALA,6,Hombres,42,33694.79039038253,Movimiento Ciudadano,5,34069.722132505776,29,40-44,-34069.722132505776
QUERETARO,7,Mujeres,60,49196.37085421492,MORENA-PT-Partido Verde,5,49743.793195081504,22,60-64,49743.793195081504
TAMAULIPAS,6,Hombres,55,92433.30811575455,Movimiento Ciudadano,5,93461.84044495244,28,55-59,-93461.84044495244
QUERETARO,99,Mujeres,57,49196.37085421492,NS,5,49743.793195081504,22,55-59,49743.793195081504
QUERETARO,1,Mujeres,55,49196.37085421492,PAN-PRI-PRD,5,49743.793195081504,22,55-59,49743.793195081504
QUERETARO,2,Hombres,23,49011.3960243251,PAN-PRI-PRD,5,49556.76009640841,22,20-24,-49556.76009640841
YUCATAN,7,Mujeres,38,64184.79892665612,MORENA-PT-Partido Verde,5,64899.001870214735,31,35-39,64899.001870214735
TAMAULIPAS,7,Mujeres,43,76604.32079871824,MORENA-PT-Partido Verde,5,77456.71937780036,28,40-44,77456.71937780036
TAMAULIPAS,7,Mujeres,46,76909.18356851481,MORENA-PT-Partido Verde,5,77764.97444439011,28,45-49,77764.97444439011
TAMAULIPAS,7,Mujeres,50,76909.18356851481,MORENA-PT-Partido Verde,5,77764.97444439011,28,50-54,77764.97444439011
TAMAULIPAS,1,Mujeres,42,76604.32079871824,PAN-PRI-PRD,5,77456.71937780036,28,40-44,77456.71937780036
BAJA CALIFORNIA,7,Hombres,28,72196.0488194791,MORENA-PT-Partido Verde,5,72999.39527288302,2,25-29,-72999.39527288302
YUCATAN,4,Mujeres,62,87804.60606392923,MORENA-PT-Partido Verde,5,88781.63347785821,31,60-64,88781.63347785821
BAJA CALIFORNIA,7,Mujeres,30,63202.80192417783,MORENA-PT-Partido Verde,5,63906.07790120443,2,30-34,63906.07790120443
COLIMA,7,Mujeres,36,52309.52746457639,MORENA-PT-Partido Verde,5,52891.590805369146,9,35-39,52891.590805369146
COLIMA,99,Mujeres,46,52517.70406954238,NS,5,53102.08385202433,9,45-49,53102.08385202433
YUCATAN,7,Mujeres,45,64184.79892665612,MORENA-PT-Partido Verde,5,64899.001870214735,31,45-49,64899.001870214735
HIDALGO,7,Mujeres,22,39741.03649933159,MORENA-PT-Partido Verde,5,40183.24658213213,13,20-24,40183.24658213213
HIDALGO,6,Mujeres,32,31872.10702257686,Movimiento Ciudadano,5,32226.75723623494,13,30-34,32226.75723623494
COLIMA,1,Mujeres,33,53795.35727884282,PAN-PRI-PRD,5,54393.95388054348,9,30-34,54393.95388054348
COLIMA,7,Hombres,24,52320.24126470958,MORENA-PT-Partido Verde,5,52902.423821075485,9,20-24,-52902.423821075485
BAJA CALIFORNIA,1,Mujeres,25,78806.99121490655,PAN-PRI-PRD,5,79683.89954896552,2,25-29,79683.89954896552
MEXICO,3,Mujeres,25,86086.13559246901,PAN-PRI-PRD,5,87044.0410851696,15,25-29,87044.0410851696
MEXICO,4,Mujeres,60,67400.90585159809,MORENA-PT-Partido Verde,5,68150.89535320477,15,60-64,68150.89535320477
MEXICO,7,Mujeres,35,69040.63830366835,MORENA-PT-Partido Verde,5,69808.87358563895,15,35-39,69808.87358563895
